roll,pitch,yaw,x,y,z
-1.50114,-0.027947,-1.74551,0.0440658,-0.068707,-0.157815
-1.49298,-0.0151438,-1.75249,0.0482969,-0.0615919,-0.164691
-1.50596,-0.0462896,-1.75242,0.0435993,-0.0658661,-0.15291
-1.48172,0.00980216,-1.7477,0.0496979,-0.0598864,-0.173308
-1.48204,-0.0271517,-1.75942,0.051515,-0.0592525,-0.173548
-1.49133,0.00294345,-1.75205,0.04796,-0.0575717,-0.164528
-1.48988,-0.0542785,-1.75653,0.048341,-0.0662856,-0.166445
-1.49537,-0.0595442,-1.76008,0.0469542,-0.0649568,-0.162109
-1.47931,0.0229346,-1.75482,0.0524908,-0.0508469,-0.17455
-1.49737,-0.0373214,-1.75869,0.0469348,-0.0607116,-0.161708
-1.50002,-0.061119,-1.75792,0.0462827,-0.0665232,-0.158211
-1.51043,-0.0665946,-1.74825,0.0415277,-0.0728638,-0.150433
-1.51481,-0.080306,-1.75255,0.0406712,-0.0722298,-0.145493
-1.50485,-0.0699806,-1.74658,0.0433349,-0.0769856,-0.153545
-1.49658,-0.0651124,-1.75894,0.0467189,-0.0666696,-0.160962
-1.4708,0.049575,-1.72911,0.0525501,-0.0666958,-0.182084
-1.47713,0.0512023,-1.74116,0.0525374,-0.0567386,-0.176052
-1.49864,0.00188795,-1.757,0.0477161,-0.0538751,-0.159296
-1.49849,-0.0054768,-1.75583,0.0472645,-0.0563839,-0.159729
-1.48109,0.0708344,-1.73476,0.0466532,-0.0564118,-0.174608
-1.51574,-0.0826187,-1.75158,0.0378232,-0.0716265,-0.145593
-1.49571,-0.0141887,-1.73853,0.0423901,-0.0714292,-0.16379
-1.48042,0.0709604,-1.73432,0.0473769,-0.0578479,-0.175262
-1.50849,-0.0716292,-1.75202,0.0403721,-0.0705955,-0.152851
-1.49595,-0.0390115,-1.75827,0.0475687,-0.0619608,-0.161347
-1.48872,-0.0507974,-1.75761,0.0488525,-0.0654254,-0.167435
-1.49569,-0.0574239,-1.76054,0.0452291,-0.0637382,-0.161924
-1.50225,-0.0402107,-1.74064,0.0458226,-0.0757455,-0.158071
-1.51035,-0.0642508,-1.74794,0.0415579,-0.073033,-0.148769
-1.49229,0.0172607,-1.73772,0.0432668,-0.0654072,-0.166348
-1.48235,0.0308593,-1.7208,0.0455169,-0.0781609,-0.17738
-1.50505,-0.0406942,-1.7382,0.0418729,-0.0765134,-0.154301
-1.48578,0.0120005,-1.74457,0.050956,-0.0620515,-0.168296
-1.51301,-0.073532,-1.74889,0.037714,-0.073403,-0.148711
-1.49248,-0.0776403,-1.76115,0.0478042,-0.0679379,-0.165219
-1.48019,0.0109155,-1.75208,0.0524372,-0.0562702,-0.173624
-1.4873,0.000180361,-1.73483,0.047188,-0.0726566,-0.169313
-1.49712,-0.0877161,-1.75153,0.0447511,-0.0774803,-0.160312
-1.48789,-0.0184652,-1.76199,0.0488624,-0.0532412,-0.168637
-1.51453,-0.0782844,-1.7506,0.040657,-0.0735601,-0.145752
-1.51211,-0.0716612,-1.74859,0.0410341,-0.0748071,-0.148447
-1.50259,-0.0291557,-1.74647,0.0415185,-0.0676808,-0.158089
-1.49646,-0.0714047,-1.75447,0.0422295,-0.0696379,-0.164
-1.51277,-0.0727291,-1.74865,0.038921,-0.0744465,-0.148936
-1.48305,0.0437916,-1.74678,0.0492419,-0.0527441,-0.170315
-1.49866,-0.00799567,-1.75691,0.0472413,-0.0559421,-0.159931
-1.50787,0.0909776,-1.74835,0.0460483,-0.0421342,-0.1486
-1.49221,-0.0247627,-1.75669,0.0479216,-0.059819,-0.163649
-1.48265,0.0537161,-1.72738,0.0466802,-0.0674124,-0.174517
-1.49199,-0.00615963,-1.75345,0.0487384,-0.0583199,-0.164198
