roll,pitch,yaw,x,y,z
-0.491242,-1.64577,3.05543,0.394906,0.484255,0.0720144
-1.60109,-0.013338,-1.68026,0.211713,0.128223,-0.112458
-0.429304,-1.68122,2.81078,0.524009,0.702934,0.157096
-1.58752,0.0144086,-1.59578,0.198079,0.02127,-0.132761
-1.61636,0.00131745,-1.62848,0.195725,0.0358759,-0.100079
-1.62802,-0.0292852,-1.66268,0.227613,0.0673746,-0.0869908
-1.68199,0.0740868,-1.70423,0.220996,0.156675,0.00058032
-0.743246,-1.36196,-2.88149,0.306696,0.298951,-0.177667
-2.91471,-0.947748,2.15623,1.58282,-0.503187,0.696858
-0.132001,-1.29021,2.9886,0.238565,0.200499,-0.208023
2.15141,-0.660439,-1.21741,1.38279,0.485255,0.695042
-2.52653,-0.920852,-1.09792,0.413359,0.325282,0.379608
-1.58182,0.155054,-1.5792,0.176878,0.0224834,-0.137381
-1.68043,-0.176457,-1.50475,0.183231,-0.101332,-0.00621516
1.96372,-0.441244,-1.78683,1.74266,-0.0691865,0.638002
-1.66607,0.19901,-1.63131,0.179465,0.0782829,-0.0107897
-2.17945,-1.00067,3.67816,1.23051,1.09942,0.252361
-1.59943,0.0444785,-1.56304,0.196363,-0.0161634,-0.109688
-1.62199,0.0824962,-1.5854,0.177196,0.0249454,-0.0731512
-1.60456,0.00904739,-1.57195,0.17431,-0.0108093,-0.111298
2.60131,-0.493244,-1.26383,1.05919,0.658841,0.71086
-1.67339,-0.0113267,-1.66437,0.209505,0.05842,-0.0364154
-0.32934,-1.82089,2.40036,0.884989,0.908721,0.17254
-1.05207,-1.44865,2.76797,1.35452,1.02711,-0.109292
-1.58243,0.0800898,-1.57037,0.174273,-0.000464015,-0.136371
-1.68262,-0.329361,-1.48264,0.195483,-0.115331,-0.0119373
-1.57319,0.248182,-1.56582,0.19894,0.0190761,-0.141626
-1.59893,0.0534126,-1.58162,0.186816,0.00577992,-0.109971
-1.58908,0.101908,-1.57121,0.191036,0.00100222,-0.126955
-1.61784,0.0142145,-1.60325,0.187843,0.0221691,-0.0971497
-0.365101,-1.77101,2.53065,0.79328,0.846696,0.143711
-1.67766,0.0301552,-1.62671,0.231097,0.0372618,-0.0516144
-1.61591,0.113481,-1.59351,0.225182,0.0322899,-0.0871369
-1.60314,0.0378241,-1.53665,0.188825,-0.0451726,-0.108181
-1.57035,0.154312,-1.48355,0.209291,-0.0859835,-0.133185
-1.58812,0.0195069,-1.55592,0.188149,-0.0295909,-0.132187
1.52347,0.440051,-1.14925,1.80478,0.266877,0.26128
-1.60306,-0.0241723,-1.61052,0.236968,0.0427743,-0.112186
1.88529,-0.258283,-1.76619,1.59155,-0.0966978,0.186316
1.52556,-0.89222,-1.8171,2.19927,-0.138465,0.0217354
-1.87969,-0.619876,1.72169,2.28116,-0.12285,0.323956
-1.61521,-0.0309673,-1.58653,0.203899,-0.000716382,-0.0965949
-1.64762,0.167278,-1.59225,0.155184,0.0315467,-0.0308321
-1.57481,0.0943763,-1.58053,0.170718,0.027273,-0.142439
1.53015,-0.506668,-1.78067,1.62836,-0.194782,0.256409
2.12839,-0.756162,-1.94415,1.99555,0.137117,0.762085
1.41008,-0.476875,-1.56922,2.19789,-0.0071188,0.0403294
-1.84607,-0.567146,1.64293,2.13463,-0.0623347,0.295656
-1.63338,-0.0838904,-1.54779,0.231871,-0.2198,-0.0740696
1.57008,-0.209411,-1.1933,1.70704,0.384235,0.32043
