roll,pitch,yaw,x,y,z
-1.68898,-0.000638812,-1.48371,0.0676759,-0.0205567,-0.210659
-1.69546,-0.0233844,-1.49574,0.0573269,0.0126672,-0.187618
-1.67059,-0.00535811,-1.49036,0.0646161,-0.00467548,-0.255071
-1.69851,-0.0211577,-1.49034,0.0596975,-0.00148497,-0.188002
-1.69901,-0.0236307,-1.49473,0.0596255,0.0117019,-0.183898
-1.69008,-0.0185799,-1.49221,0.0599693,0.0023292,-0.203655
-1.67998,-0.00792494,-1.48808,0.0645973,-0.0120318,-0.237257
-1.68401,0.00461565,-1.48873,0.0664853,-0.00587014,-0.221478
-1.71195,-0.0181447,-1.48639,0.0596492,-0.0116196,-0.154331
-1.7026,-0.0187268,-1.49283,0.0577884,0.00417894,-0.174255
-1.69707,-0.0339495,-1.49087,0.0607193,-0.00258988,-0.192976
-1.70664,-0.0189655,-1.48214,0.06974,-0.024743,-0.17102
-1.69624,-0.0259122,-1.48828,0.0569426,-0.00735091,-0.189422
-1.69538,-0.0261452,-1.48551,0.0588296,-0.0144313,-0.197608
-1.69459,-0.0352432,-1.4924,0.0622383,9.84466e-05,-0.190129
-1.69295,0.00467889,-1.48887,0.0692843,-0.00780653,-0.206054
-1.70064,-0.0274189,-1.49269,0.054421,0.00588531,-0.178868
-1.68927,-0.0244367,-1.50064,0.0616544,0.0269262,-0.206195
-1.67911,-0.0189823,-1.48081,0.0590696,-0.0300557,-0.237317
-1.67102,-0.00802213,-1.49399,0.0687134,0.00865241,-0.256988
-1.68348,-0.0153364,-1.49173,0.0641707,-0.00136732,-0.21841
-1.70412,-0.0293399,-1.49684,0.0595432,0.0144191,-0.174459
-1.69523,-0.00741648,-1.48509,0.0654071,-0.019489,-0.198044
-1.69216,-0.0217192,-1.49909,0.062054,0.0147927,-0.193439
-1.69604,-0.0208371,-1.49274,0.0618494,0.00386823,-0.193989
-1.70627,-0.0195491,-1.48866,0.0659646,-0.0077954,-0.17119
-1.69208,-0.0308757,-1.49174,0.0622709,-0.000465721,-0.19559
-1.69825,-0.00269118,-1.48842,0.0658938,-0.00998547,-0.190801
-1.69429,-0.0435931,-1.4801,0.0608612,-0.0298122,-0.201647
-1.69219,-0.0360223,-1.47882,0.056465,-0.0284132,-0.199805
-1.69116,-0.0140276,-1.50122,0.061667,0.0274245,-0.201355
-1.70048,-0.0259034,-1.49959,0.0581556,0.0201942,-0.180025
-1.69231,-0.0171612,-1.50001,0.0671038,0.0207282,-0.19162
-1.68976,-0.0273047,-1.4943,0.0618141,0.0104507,-0.217269
-1.69837,-0.022247,-1.49316,0.058234,0.00395574,-0.182484
-1.6913,-0.020549,-1.50229,0.0658652,0.0314961,-0.20735
-1.69668,-0.028079,-1.49804,0.061742,0.0218101,-0.196772
-1.69334,-0.0388732,-1.49223,0.0661307,-0.00153427,-0.196061
-1.70369,-0.0246979,-1.49,0.0624332,-0.00164251,-0.177713
-1.69209,-0.0131857,-1.49683,0.0645838,0.0178523,-0.196359
-1.70525,-0.0201748,-1.49096,0.0588765,0.000147434,-0.168159
-1.67621,-0.0202027,-1.49196,0.0641634,-0.000281668,-0.253225
-1.68934,-0.0236643,-1.48017,0.060856,-0.0281746,-0.206753
-1.69337,-0.0123338,-1.49432,0.0626377,0.013448,-0.196932
-1.71108,-0.000382158,-1.49281,0.0599401,0.00600682,-0.148348
-1.69131,-0.0102983,-1.49796,0.0610222,0.0200547,-0.1975
-1.67501,-0.00704862,-1.48744,0.0684804,-0.0156232,-0.253008
-1.71386,-0.020533,-1.49223,0.0625849,0.00407479,-0.149981
-1.68722,-0.0247612,-1.47819,0.0617297,-0.0358874,-0.21781
-1.69478,-0.0378258,-1.50166,0.0645363,0.0201843,-0.192484
