roll,pitch,yaw,x,y,z
-1.51565,-0.0073544,-1.7519,-0.00808533,-0.0372157,-0.153639
-1.53411,0.0254552,-1.76869,-0.00776331,-0.0116508,-0.133334
-1.51502,0.0010282,-1.76774,-0.00430346,-0.0187915,-0.153809
-1.51651,-0.039108,-1.75114,-0.00839083,-0.04587,-0.152244
-1.516,-0.00884404,-1.75789,-0.00842204,-0.0304685,-0.152599
-1.50231,-0.028569,-1.75113,-0.00684269,-0.0434719,-0.167897
-1.53051,-0.0152278,-1.7561,-0.00960292,-0.0346679,-0.13677
-1.50081,-0.00489116,-1.74084,-0.00631669,-0.0492724,-0.16834
-1.52029,-0.0076434,-1.75305,-0.00770808,-0.0367748,-0.147244
-1.52296,-0.029143,-1.75409,-0.0106994,-0.0394042,-0.146374
-1.55311,0.0538355,-1.75674,-0.0132835,-0.0172889,-0.109984
-1.51053,-0.0134835,-1.75159,-0.00762506,-0.0391691,-0.159129
-1.52007,0.0128398,-1.7435,-0.0116435,-0.0402431,-0.147527
-1.52911,0.0126669,-1.77171,-0.00772474,-0.0106306,-0.139232
-1.51511,-0.00981514,-1.76799,-0.00610355,-0.0202331,-0.153827
-1.51569,-0.00855058,-1.76749,-0.00509463,-0.0199457,-0.152868
-1.52359,-0.0146088,-1.76166,-0.00921559,-0.0275223,-0.144636
-1.53985,-0.115541,-1.74784,-0.0179374,-0.0631841,-0.127112
-1.52715,-0.00438276,-1.7592,-0.0102797,-0.0282761,-0.13983
-1.56002,0.0458068,-1.75552,-0.0151568,-0.0202044,-0.102592
-1.5066,-0.0538162,-1.75602,-0.00870687,-0.0438315,-0.163505
-1.5289,-0.0170518,-1.76286,-0.0103335,-0.0270112,-0.138504
-1.5112,0.039387,-1.75015,-0.00307997,-0.0299037,-0.155885
-1.50209,-0.0333792,-1.76387,-0.00400737,-0.0304195,-0.168726
-1.50653,0.00321344,-1.74619,-0.00734223,-0.0415529,-0.162019
-1.53721,-0.000439964,-1.75672,-0.0121561,-0.0290418,-0.129633
-1.50943,-0.0654226,-1.75656,-0.00918641,-0.0456181,-0.159737
-1.53927,0.0327988,-1.76819,-0.00974407,-0.00987468,-0.126985
-1.54546,0.0269023,-1.75765,-0.0122855,-0.0234565,-0.11924
-1.52704,0.0301654,-1.77233,-0.00514945,-0.00653895,-0.14031
-1.51815,-0.0124102,-1.74941,-0.00891812,-0.0424064,-0.150314
-1.53867,0.00509517,-1.7556,-0.0117311,-0.0299572,-0.127736
-1.51363,0.0228688,-1.74961,-0.00554462,-0.0337554,-0.154242
-1.5482,0.0207897,-1.75576,-0.0121774,-0.0267843,-0.116655
-1.50203,-0.0173366,-1.74854,-0.00590721,-0.0439423,-0.167219
-1.52561,-0.0161118,-1.76229,-0.00916526,-0.0263341,-0.142053
-1.55483,0.0377248,-1.75499,-0.0134305,-0.0241796,-0.108412
-1.5029,-0.00648447,-1.74534,-0.00627088,-0.0448447,-0.165843
-1.54654,0.101844,-1.73454,-0.014613,-0.0349657,-0.114349
-1.51789,0.0499118,-1.75902,-0.00595348,-0.0175797,-0.148276
-1.52062,-0.0432851,-1.75515,-0.0104172,-0.0414656,-0.147366
-1.55647,0.11882,-1.74934,-0.0122397,-0.0173949,-0.102485
-1.5176,-0.0190651,-1.75973,-0.00884039,-0.0329288,-0.151233
-1.5273,0.0706195,-1.75338,-0.0084349,-0.019706,-0.136813
-1.54285,0.0812385,-1.7591,-0.00994989,-0.0120075,-0.120198
-1.51365,-0.123921,-1.78114,-0.00712412,-0.032904,-0.15431
-1.54315,0.0794195,-1.75955,-0.00968875,-0.0147824,-0.123786
-1.51555,-0.0100256,-1.77085,-0.00409291,-0.0171986,-0.153065
-1.50269,0.069237,-1.75079,-0.00201229,-0.0247177,-0.166618
-1.52578,0.0506606,-1.75718,-0.00830101,-0.0190468,-0.13989
